country_iso,normad_country,cluster,cluster_inferred,sacsecval,resemaval,dist_from_english,n_respondents
AUS,australia,EnglishSpeaking,no,0.4137,0.6272,0.0168,1813
AND,,CatholicEurope,no,0.4117,0.6261,0.0185,1004
GBR,united_kingdom,EnglishSpeaking,no,0.4259,0.6499,0.0280,2609
NIR,,EnglishSpeaking,yes,0.4002,0.6131,0.0309,447
NZL,new_zealand,EnglishSpeaking,no,0.4056,0.6449,0.0332,1057
NLD,netherlands,ProtestantEurope,no,0.4559,0.6601,0.0460,2145
CAN,canada,EnglishSpeaking,no,0.4777,0.6357,0.0498,4018
JPN,japan,Confucian,no,0.4391,0.5563,0.0665,1353
URY,,LatinAmerica,no,0.3794,0.5738,0.0698,1000
DEU,germany,ProtestantEurope,no,0.3820,0.6759,0.0719,1528
USA,united_states_of_america,EnglishSpeaking,no,0.3806,0.5605,0.0789,2596
GTM,,LatinAmerica,no,0.4046,0.4784,0.1460,1229
MAC,,Confucian,no,0.5128,0.5014,0.1466,1023
HKG,hong_kong,Confucian,no,0.4959,0.4855,0.1518,2075
ARG,argentina,LatinAmerica,no,0.4207,0.4671,0.1553,1003
SRB,serbia,Orthodox,no,0.4377,0.4646,0.1578,1046
SVK,,CatholicEurope,no,0.4684,0.4628,0.1639,1200
CHL,chile,LatinAmerica,no,0.4618,0.4591,0.1662,1000
TWN,taiwan,Confucian,no,0.4470,0.4546,0.1685,1223
BRA,brazil,LatinAmerica,no,0.3485,0.4657,0.1763,1762
MEX,mexico,LatinAmerica,no,0.4284,0.4382,0.1839,1741
GRC,greece,Orthodox,no,0.3196,0.4708,0.1872,1200
PRI,,LatinAmerica,no,0.2624,0.5282,0.1919,1127
CZE,czech_republic,CatholicEurope,no,0.5741,0.4916,0.1946,1200
THA,thailand,SouthAsia,no,0.3991,0.4250,0.1995,1500
SGP,singapore,Confucian,no,0.3199,0.4494,0.2047,2012
MYS,malaysia,SouthAsia,no,0.3820,0.4198,0.2079,1313
VEN,venezuela,LatinAmerica,no,0.4188,0.4097,0.2127,1190
VNM,vietnam,Confucian,no,0.4235,0.4071,0.2151,1200
KOR,south_korea,Confucian,no,0.5639,0.4535,0.2155,1245
COL,colombia,LatinAmerica,no,0.3377,0.4265,0.2163,1520
MNG,,Confucian,no,0.5444,0.4355,0.2190,1638
LBN,lebanon,AfricanIslamic,no,0.3662,0.4124,0.2192,1200
RUS,russia,Orthodox,no,0.4464,0.3983,0.2245,1810
PER,peru,LatinAmerica,no,0.3793,0.4029,0.2250,1400
ROU,romania,Orthodox,no,0.3219,0.4236,0.2260,1257
UKR,ukraine,Orthodox,no,0.4700,0.3996,0.2262,1289
CHN,china,Confucian,no,0.4013,0.3918,0.2322,3036
KEN,kenya,AfricanIslamic,no,0.3383,0.4076,0.2333,1266
BOL,,LatinAmerica,no,0.3715,0.3924,0.2370,2067
CYP,cyprus,Orthodox,no,0.3097,0.4167,0.2380,1000
MAR,,AfricanIslamic,no,0.3569,0.3870,0.2463,1200
KAZ,,Orthodox,yes,0.3773,0.3749,0.2528,1276
NIC,,LatinAmerica,no,0.3569,0.3796,0.2533,1200
PHL,philippines,SouthAsia,no,0.3176,0.3891,0.2586,1200
ECU,,LatinAmerica,no,0.3232,0.3856,0.2594,1200
UZB,,SouthAsia,yes,0.2973,0.3743,0.2811,1250
IND,india,SouthAsia,no,0.2640,0.3748,0.2978,1692
TUR,türkiye,AfricanIslamic,no,0.2693,0.3624,0.3053,2415
TJK,,Orthodox,yes,0.3954,0.3110,0.3130,1200
TUN,,AfricanIslamic,no,0.3089,0.3276,0.3184,1208
IRN,iran,AfricanIslamic,no,0.2597,0.3375,0.3316,1499
IDN,indonesia,SouthAsia,no,0.2581,0.3288,0.3399,3200
KGZ,,SouthAsia,yes,0.3093,0.2937,0.3498,1200
ARM,,Orthodox,no,0.2750,0.3065,0.3515,1223
MMR,myanmar,SouthAsia,no,0.3137,0.2896,0.3522,1200
MDV,,AfricanIslamic,yes,0.2177,0.3386,0.3541,1039
ZWE,zimbabwe,AfricanIslamic,no,0.2318,0.3143,0.3660,1215
IRQ,iraq,AfricanIslamic,no,0.3434,0.2642,0.3683,1200
BGD,bangladesh,SouthAsia,no,0.2347,0.3049,0.3725,1200
NGA,nigeria,AfricanIslamic,no,0.2577,0.2875,0.3763,1237
ETH,ethiopia,AfricanIslamic,no,0.1813,0.3258,0.3867,1230
PAK,pakistan,SouthAsia,no,0.2459,0.2536,0.4118,1995
LBY,,AfricanIslamic,no,0.2179,0.2563,0.4228,1196
JOR,jordan,AfricanIslamic,no,0.1750,0.2715,0.4334,1203
EGY,egypt,AfricanIslamic,no,0.1741,0.2366,0.4626,1200
IRL,ireland,EnglishSpeaking,no,,,,0
SWE,sweden,ProtestantEurope,no,,,,0
ITA,italy,CatholicEurope,no,,,,0
ESP,spain,CatholicEurope,no,,,,0
FRA,france,CatholicEurope,no,,,,0
PRT,portugal,CatholicEurope,no,,,,0
AUT,austria,CatholicEurope,no,,,,0
POL,poland,CatholicEurope,no,,,,0
HUN,hungary,CatholicEurope,no,,,,0
HRV,croatia,CatholicEurope,no,,,,0
MKD,north_macedonia,Orthodox,no,,,,0
BIH,bosnia_and_herzegovina,Orthodox,no,,,,0
LKA,sri_lanka,SouthAsia,no,,,,0
NPL,nepal,SouthAsia,no,,,,0
